stratum,audit,k,n,detection_rate,ci95_lo,ci95_hi,threshold_name,cohort_id,arch,rate
overall,AUROC,404,768,0.5260416666666666,0.4906857486905304,0.5611383656308523,,,,
overall,FNR,537,768,0.69921875,0.6658589436880511,0.7305955308705276,,,,
by_threshold,AUROC,101,192,0.5260416666666666,0.45559699342508436,0.595464717716802,sens0.80,,,
by_threshold,FNR,136,192,0.7083333333333334,0.6404570798464552,0.7680366092886367,sens0.80,,,
by_threshold,AUROC,101,192,0.5260416666666666,0.45559699342508436,0.595464717716802,spec0.90,,,
by_threshold,FNR,128,192,0.6666666666666666,0.5972944578708043,0.729500493437269,spec0.90,,,
by_threshold,AUROC,101,192,0.5260416666666666,0.45559699342508436,0.595464717716802,t0.5,,,
by_threshold,FNR,139,192,0.7239583333333334,0.6568019824602926,0.7823287333599311,t0.5,,,
by_threshold,AUROC,101,192,0.5260416666666666,0.45559699342508436,0.595464717716802,youden_j,,,
by_threshold,FNR,134,192,0.6979166666666666,0.6296100295383766,0.7584589751399604,youden_j,,,
by_cohort,AUROC,64,72,0.8888888888888888,0.7957706176370486,0.942611803659264,,isic_source,,
by_cohort,FNR,72,72,1.0,0.9493488273809735,0.9999999999999999,,isic_source,,
by_cohort,AUROC,36,136,0.2647058823529412,0.19776326056032653,0.3445756099084363,,mimic_race_matched,,
by_cohort,FNR,40,136,0.29411764705882354,0.22404267544169626,0.3755038362184712,,mimic_race_matched,,
by_cohort,AUROC,240,332,0.7228915662650602,0.6724065353204316,0.768277591406825,,mimic_race_unmatched,,
by_cohort,FNR,295,332,0.8885542168674698,0.8501622285443607,0.9180573977774783,,mimic_race_unmatched,,
by_cohort,AUROC,40,60,0.6666666666666666,0.5405686644909831,0.7727073847861397,,nih_sex_effusion,,
by_cohort,FNR,49,60,0.8166666666666667,0.700802462504736,0.8944220311217972,,nih_sex_effusion,,
by_cohort,AUROC,0,60,0.0,0.0,0.060171852168631655,,nih_sex_pneumothorax,,
by_cohort,FNR,0,60,0.0,0.0,0.060171852168631655,,nih_sex_pneumothorax,,
by_cohort,AUROC,24,72,0.3333333333333333,0.2353464344114395,0.44820395646156924,,pcam_site,,
by_cohort,FNR,53,72,0.7361111111111112,0.6242413795103277,0.8240622334195766,,pcam_site,,
by_cohort,AUROC,0,36,0.0,6.938893903907228e-18,0.09641862863535364,,ptbxl_sex,,
by_cohort,FNR,28,36,0.7777777777777778,0.6191529704983499,0.882836680259787,,ptbxl_sex,,
by_arch,AUROC,28,36,0.7777777777777778,0.6191529704983499,0.882836680259787,,,convnext_tiny,
by_arch,FNR,36,36,1.0,0.9035813713646463,1.0,,,convnext_tiny,
by_arch,AUROC,212,484,0.4380165289256198,0.39447524424000135,0.4825339789104418,,,densenet121,
by_arch,FNR,270,484,0.5578512396694215,0.513322418627346,0.6014689730989071,,,densenet121,
by_arch,AUROC,28,32,0.875,0.7193169451395276,0.9502986561354854,,,efficientnet_b4,
by_arch,FNR,32,32,1.0,0.8928208017000171,0.9999999999999999,,,efficientnet_b4,
by_arch,AUROC,0,36,0.0,6.938893903907228e-18,0.09641862863535364,,,resnet1d,
by_arch,FNR,28,36,0.7777777777777778,0.6191529704983499,0.882836680259787,,,resnet1d,
by_arch,AUROC,36,36,1.0,0.9035813713646463,1.0,,,resnet50,
by_arch,FNR,36,36,1.0,0.9035813713646463,1.0,,,resnet50,
by_arch,AUROC,24,36,0.6666666666666666,0.5033399786731534,0.7978538117817287,,,swin_tiny_patch4_window7_224,
by_arch,FNR,36,36,1.0,0.9035813713646463,1.0,,,swin_tiny_patch4_window7_224,
by_arch,AUROC,76,108,0.7037037037037037,0.6117921030211211,0.7816219355943099,,,vit_base_patch16_224,
by_arch,FNR,99,108,0.9166666666666666,0.8491709381001057,0.9555395954314575,,,vit_base_patch16_224,
by_rate,AUROC,4,32,0.125,0.04970134386451466,0.2806830548604724,,,,0.005
by_rate,FNR,4,32,0.125,0.04970134386451466,0.2806830548604724,,,,0.005
by_rate,AUROC,4,32,0.125,0.04970134386451466,0.2806830548604724,,,,0.01
by_rate,FNR,3,32,0.09375,0.03240155129084829,0.24218154732788763,,,,0.01
by_rate,AUROC,4,32,0.125,0.04970134386451466,0.2806830548604724,,,,0.02
