cohort_id,threshold_name,threshold_value,clean_val_sensitivity,clean_val_specificity,install_point,GATE_ASR=0.10,GATE_ASR=0.15,GATE_ASR=0.20,GATE_ASR=0.30
exp1_cs0.25,t0.5,0.5,0.5929038281979456,0.9280987008742546,1.0,0.75,0.75,1.0,
exp1_cs0.25,youden_j,0.2196451822916666,0.8403361344537815,0.7981861263175096,,0.75,1.0,,
exp1_cs0.25,sens0.80,0.2737630208333333,0.8001149177619767,0.8329384208949531,,0.75,1.0,,
exp1_cs0.25,spec0.90,0.4085286358992259,0.6822523881347412,0.8999918293978267,1.0,0.75,0.75,1.0,
exp1_cs0.50,t0.5,0.5,0.5736551030668676,0.935724596236076,0.75,0.5,0.5,0.75,
exp1_cs0.50,youden_j,0.2128092447916666,0.847087552969906,0.7960617697524307,,0.75,,,
exp1_cs0.50,sens0.80,0.2665201822916667,0.8001867413632121,0.8355802489310128,,0.5,,,
exp1_cs0.50,spec0.90,0.3917805949846902,0.6822523881347412,0.8999918293978267,,0.5,0.5,,
exp1_cs1.00,t0.5,0.5,0.5741578682755152,0.93501647738105,0.5,0.5,0.5,0.5,0.75
exp1_cs1.00,youden_j,0.2236735026041666,0.8383250736191914,0.802189721382466,1.0,0.5,0.75,1.0,
exp1_cs1.00,sens0.80,0.265625,0.8001149177619767,0.8319307132935698,1.0,0.5,0.75,1.0,1.0
exp1_cs1.00,spec0.90,0.397802730401357,0.6800258564964449,0.899937358716671,0.75,0.5,0.5,0.75,1.0
isic_source,t0.5,0.5,0.7574171029668412,0.8903641118487226,0.5,0.5,0.5,0.5,0.5
isic_source,youden_j,0.2686360677083333,0.8371146015125074,0.828605914302957,,0.5,,,
isic_source,sens0.80,0.3699055910110473,0.7993019197207679,0.8583785958559645,0.5,0.5,0.5,0.5,
isic_source,spec0.90,0.5437011818091074,0.7539267015706806,0.899818949909475,0.5,0.5,0.5,0.5,0.5
mimic_race_matched,t0.5,0.5,0.531431249633839,0.9465047587791268,0.5,0.1,0.5,0.5,0.5
mimic_race_matched,youden_j,0.1815842848557692,0.8353154842111429,0.8116432304157938,0.75,0.75,0.75,0.75,
mimic_race_matched,sens0.80,0.2229417092525041,0.7998125256312613,0.8401706596652445,0.75,0.5,0.75,0.75,0.75
mimic_race_matched,spec0.90,0.3416804350339449,0.7013884820434707,0.8998384287192949,0.5,0.5,0.5,0.5,0.75
mimic_race_unmatched,t0.5,0.5,0.6409538174244057,0.9172317999836588,0.5,0.5,0.5,0.5,0.65
mimic_race_unmatched,youden_j,0.2707926432291667,0.8343747755512461,0.8099517934471773,0.65,0.5,0.65,0.65,0.85
mimic_race_unmatched,sens0.80,0.316162109375,0.8000430941607413,0.8378407821989814,0.65,0.5,0.5,0.65,0.85
mimic_race_unmatched,spec0.90,0.4492350220680237,0.6874955110249229,0.8999101233760927,0.5,0.5,0.5,0.5,0.65
nih_sex_effusion,t0.5,0.5,0.3935045317220543,0.956825075834176,0.1,0.1,0.1,0.1,0.5
nih_sex_effusion,youden_j,0.12445068359375,0.8267875125881169,0.7928547354229861,0.75,0.5,0.75,0.75,0.75
nih_sex_effusion,sens0.80,0.1457193990548451,0.7998489425981873,0.812773845635322,0.75,0.5,0.5,0.75,0.75
nih_sex_effusion,spec0.90,0.2973795533180237,0.635448136958711,0.8999325918436131,0.5,0.5,0.5,0.5,0.5
nih_sex_pneumothorax,t0.5,0.5,0.1648681055155875,0.9927441045849756,0.5,0.5,0.5,0.5,0.5
nih_sex_pneumothorax,youden_j,0.0426432291666666,0.8033573141486808,0.8383373991367988,0.75,0.5,0.75,0.75,
nih_sex_pneumothorax,sens0.80,0.0425872802734375,0.8009592326139089,0.8355851629448925,0.75,0.5,0.75,0.75,
nih_sex_pneumothorax,spec0.90,0.0778889978925387,0.7026378896882494,0.899793582285607,0.75,0.5,0.5,0.75,
pcam_site,t0.5,0.5,0.7689124317166033,0.9717939074840168,0.5,0.5,0.5,0.5,0.5
pcam_site,youden_j,0.2691650390625,0.8126138056613145,0.9491872466675022,0.75,0.75,0.75,0.75,0.75
pcam_site,sens0.80,0.3329264322916667,0.8000331071014734,0.9579206886465256,0.75,0.5,0.75,0.75,0.75
pcam_site,spec0.90,0.1088094065586725,0.8506317938531147,0.8999206050729179,,,,,
